"stu_id","major","quiz_week1","quiz_week2","quiz_week3"
1,"MA",2,2.3,6.1
2,"MA",0.2,0.6,3.2
3,"MA",0.7,2.3,6.6
4,"MA",3.8,4.7,6.7
5,"MA",0,1.5,4
6,"MA",6.9,6.7,12.5
7,"MA",0.4,1.8,4
8,"MA",0.3,2.1,1.6
9,"MA",5.1,5.4,9.8
10,"MA",3.8,6.1,5
11,"MA",0,0.6,1.6
12,"MA",2.1,1.6,2.4
13,"MA",0.9,0.9,2.7
14,"MA",0,0,0
15,"MA",1.7,2.3,5.1
16,"MA",0.7,3,5.2
17,"MA",1.5,1.2,4.6
18,"MA",2.8,3,7.1
19,"MA",2.4,3.4,5.5
20,"MA",0.4,3.5,3.7
21,"MA",5.4,5.5,11
22,"MA",5.3,5.5,10.4
23,"MA",5.9,5.9,10.4
24,"MA",3.6,5.9,7.9
25,"MA",5.4,6.1,10.5
26,"MA",3.7,4.8,9.3
27,"MA",5,6.9,12
28,"MA",6.7,7,14
29,"MA",4.4,4.6,7.3
30,"MA",4.3,4.9,8.2
31,"MA",1.4,3.3,4.7
32,"MA",7.5,7.5,13.2
33,"MA",7.4,7,14.2
34,NA,0,0,0
35,"MA",0,0,0
36,"MA",3.9,6.7,10.6
37,"MA",0,1,4.1
38,"ME",7.3,5.9,12.9
39,"ME",6.2,7.5,14.1
40,"ME",2.3,4.7,6.8
41,"ME",6.9,7.1,11.4
42,"ME",4.8,4.9,6.6
43,"ME",3.4,4,6.5
44,"ME",3.4,2.5,6.9
45,"ME",7.2,7.1,13.2
46,"ME",6.5,6.4,12.8
47,"ME",4.8,3.8,7.6
48,"ME",6.1,7.1,10.5
49,"ME",3.7,4.8,7.5
50,"ME",4,3.1,7.2
51,"ME",4.8,5.7,10.6
52,"ME",3.6,3.2,8.8
53,"ME",4,3.9,4.6
54,"ME",4.1,3.6,9.4
55,"ME",3.7,5,5.9
56,"ME",7.1,6,11.4
57,"ME",6.8,5.9,10.5
58,"ME",6.3,5.6,11.6
59,"ME",1.3,1.6,5.2
60,"ME",0.4,1.5,2.7
61,"ME",3.3,2.6,5.4
62,"ME",3.2,2.4,2.1
63,"ME",6.7,5.9,13.4
64,"ME",0.9,0.9,2.9
65,"ME",5.5,5.2,10.8
66,"ME",7,7.1,11.4
67,NA,0,0,0
68,"ME",5,6.5,11.5
69,"ME",3.7,4.7,6.8
70,"ME",0,0.6,1
71,"ME",4.7,5.3,8.9
72,"ME",0.4,0.7,0.8
73,"SC1",5.3,6.2,9.4
74,"SC1",5.1,5.9,6.6
75,"SC1",2.7,0,0
76,"SC1",4.4,4.9,7.1
77,"SC1",4.3,6.8,10.7
78,"SC1",2.1,2.8,5.9
79,"SC1",3,3.4,3.5
80,"SC1",4.3,3.6,5.3
81,"SC1",3.9,5.6,4.5
82,"SC1",6.2,6.2,8.1
83,"SC1",3.1,7,9.5
84,"SC1",1.6,2.1,3.2
85,"SC1",3.4,3.5,5.1
86,"SC1",6.2,7.4,9.6
87,"SC1",2.7,3.4,6.9
88,"SC1",4.5,5,8.5
89,"SC1",1.5,0,0
90,"SC1",5.1,7.3,12.7
91,"SC1",0.1,3.2,6.2
92,"SC1",0.7,1.9,3.6
93,"SC1",3.6,5.4,5.5
94,"SC1",2.1,3.2,5
95,"SC1",0.9,4.8,9.4
96,"SC1",4.9,5.9,9.4
97,"SC1",1.8,2.5,3.8
98,"SC1",1.5,3.7,4.1
99,"SC1",5.9,6,9.5
100,"SC1",3.5,4.8,7.8
101,"SC1",1.1,3.5,3.1
102,"SC1",0.5,3.7,4.7
103,"SC1",4.6,6.4,8
104,"SC1",2.6,5.3,8.2
105,"SC1",2.9,5.2,7.2
106,"SC1",6.1,7,10.2
107,"SC1",2,2.2,4
108,"SC1",0.9,2.4,4.2
109,"SC1",4.7,6.3,7.8
110,"SC1",5.6,5.7,7.4
111,"SC1",6.7,7,12
112,"SC1",6.1,6.9,6.7
113,"SC1",0.1,0.7,1
114,"SC1",0.5,1.8,2
115,"SC1",3.8,4.3,5.1
116,"SC2",7.1,7.4,13.1
117,"SC2",0.4,1.8,1.7
118,"SC2",3.6,4.5,3.9
119,"SC2",4,5.5,5.7
120,"SC2",3,2.8,7.1
121,"SC2",0,0.3,2.1
122,"SC2",2.2,5.2,4.3
123,"SC2",3.9,6.1,7.6
124,"SC2",7,6.9,9.6
125,"SC2",6.7,7.1,14
126,"SC2",6,6.3,8.6
127,"SC2",2.4,4.4,5.5
128,"SC2",7.2,7.5,13.3
129,"SC2",4.9,6.1,9.7
130,"SC2",1.6,3.2,3.9
131,"SC2",2.1,3,2.1
132,"SC2",7.5,7.4,13.2
133,"SC2",2.7,4.8,7.5
134,"SC2",6.5,7.4,13
135,"SC2",3.8,4.7,6
136,"SC2",4.4,5.4,6.9
137,"SC2",3.8,5,4.7
138,"SC2",4.6,6.4,8.4
139,"SC2",1.9,3.9,3.9
140,"SC2",3.9,5.9,7.1
141,"SC2",2.1,5.5,4.1
142,"SC2",0,2,2.2
143,"SC2",4.8,6.8,7.8
144,"SC2",4.4,6.8,5.7
145,"SC2",2.6,4.9,10.8
146,"SC2",6.3,6.1,9.7
147,"SC2",1.9,2.7,3.7
148,"SC2",1.8,3.3,5.5
149,"SC2",6,6.9,9.3
150,"SC2",3.6,5.1,6.6
151,"SC2",4.9,5.3,7
152,"SC2",3.4,5.6,6.5
153,"SC2",4,5.1,5.1
154,"SC2",3.6,4.2,3.8
155,"SC2",2.9,2.3,4.4
156,"SC2",3.7,5.5,6.4
157,"SC2",0.7,2.8,3.2
158,"SC2",1.1,1.6,4.2
159,"IS",2.1,6.3,6.7
160,"IS",2.8,3.6,9
161,"IS",1.6,3.4,3.5
162,"IS",3.4,5.9,8.5
163,"IS",6.3,7,14.4
164,"IS",5.5,5.9,9.6
165,"IS",5.3,6.4,10.6
166,"IS",5.4,6.1,5.9
167,"IS",3.1,2.3,5.3
168,"IS",2.9,2.3,5.3
169,"IS",4.3,4.6,5.8
170,"IS",5.2,6,8.2
171,"IS",5.5,6.2,7
172,"IS",4.5,5.7,11.7
173,"IS",5.7,7,11.8
174,"IS",0.4,3.1,4.4
175,"IS",0.1,2.8,2.5
176,"IS",4.1,4.5,5.5
177,"IS",4.9,6.4,6.6
178,"IS",1.5,3.6,2.8
179,"IS",5.6,4.9,7.6
180,"IS",5.4,6.4,9.5
181,"IS",0.8,4.2,4.3
182,"IS",5.1,5.6,8.4
183,"IS",6.1,6.3,8.3
184,"IS",4.5,6.7,10.4
185,"IS",0.8,3.1,3.3
186,"IS",1.3,4.5,6.5
187,"IS",4.3,5.6,4.7
188,"IS",5.1,5.7,9.6
189,"IS",2.9,3.4,6.5
190,"GH2",7.4,7,11.2
191,NA,0,0,0
192,"GH2",3.9,5.4,8.7
193,"GH2",5.8,5.5,8.4
194,"GH2",0.2,1.6,1.6
195,"GH2",5.4,3.1,7.1
196,"GH2",1.5,3.5,4
197,"GH2",1.3,2.7,1.6
198,"GH2",1.3,4.8,6.5
199,"GH2",1.7,5.9,6.1
200,"GH2",3.6,5.2,5.1
201,"GH2",0,1.4,2.2
202,"GH2",0.4,2.3,3
203,"GH2",2.5,3.9,7
204,"GH2",0.9,2.5,1.4
205,"GH2",4.6,6.6,8.5
206,"GH2",5.9,5.5,8.4
207,"GH2",1.7,3.6,3
208,"GH2",4.3,6.4,7.8
209,"GH2",0.1,1.6,2.1
210,"GH2",7.1,6.1,11.7
211,"GH2",0.1,0.9,0.9
212,"GH2",6.8,6.9,10.1
213,"GH2",3.6,5.7,9.3
214,"GH2",5.5,5.1,5.2
215,"GH2",6.8,6.1,10.4
216,"GH2",2.8,3.6,5.1
217,"GH2",5.9,5.6,10.5
218,"GH2",0,0,0
219,"GH2",1.9,4.6,6.2
220,"GH2",6.5,5.7,10.3
221,"GH2",1.2,2.9,3
222,"GH2",1.4,2.6,5.5
223,"GH2",4.6,4.5,7.9
224,"GH2",0.7,2.2,2.4
225,NA,0,0,0
226,"GI",4.6,4.8,4.1
227,"GI",5.4,5.9,13
228,"GI",3.1,5.6,6.2
229,"GI",0.7,2.5,4.4
230,"GI",3.5,3.7,8.4
231,"GI",7.2,7.1,13.4
232,"GI",0.8,1.9,2
233,"GI",7,6.3,11.8
234,"GI",4.5,5.9,7.9
235,"GI",2.1,3.1,4.4
236,"GI",3.2,7,9
237,"GI",2.4,5.1,8
238,"GI",5.3,6.8,12.3
239,"GI",5.9,0,0
240,"GI",5.3,5.9,7.3
241,"GI",6.1,5.3,11.2
242,"GI",5.8,5.4,9.8
243,"GI",5.6,6.6,9.7
244,"GI",4.1,6.5,8.5
245,"GI",5.2,6.1,8.6
246,"GI",0.8,3.5,3.8
247,"GI",0.2,1.2,1.6
248,"GI",3.4,5.3,8.7
249,"GI",4.3,6.4,11.3
250,"GI",4.7,5,6.7
251,"GI",2.5,4.8,6.7
252,"GI",0.9,3,4.7
253,"GI",4.8,2.8,6.6
254,"GI",0.5,1.5,4.2
255,"GI",3.4,5.4,9.9
256,"HS",0.9,1.9,2.1
257,"HS",0.7,0.7,2.3
258,"HS",0.9,3.1,2.5
259,"HS",1,3.8,3.3
260,"HS",1.1,1.7,1.5
261,"HS",0.3,1.8,1.8
262,"HS",2.9,4.3,1.7
263,"HS",0,0.6,1.4
264,"HS",0,0.3,2.5
265,"HS",3.9,5.6,5.7
266,"HS",0.8,1.9,2.5
267,"HS",6.3,4.9,6.9
268,"HS",0.4,0.6,4.4
269,"HS",0.2,0.8,1.7
270,"HS",1,1.1,2
271,"HS",4.8,6.8,7.9
272,"HS",6.1,6.3,10
273,"HS",0,0.4,1
274,"HS",0.3,2.7,2.4
275,"HS",1.3,2.7,3.1
276,"HS",0.1,1.1,1.4
277,"HS",0,0.1,1
278,"HS",3.2,0.8,3.6
279,"HS",0,0.6,0.8
280,"HS",1.3,1.3,4.1
281,"HS",0.3,1.6,3.4
282,"HS",0.1,0.7,1
283,"HS",0.1,0.4,3.8
284,"HS",0.4,0.4,3.5
285,"HS",0.9,1.3,3.1
286,"HS",1,2.2,4
287,"HS",0.4,0.7,0.9
288,"HS",3.8,2,5.5
289,"HS",0,0.4,1.7
290,"HS",0,0.4,0.9
291,"HS",0.3,0.7,1.2
292,"HS",1.1,0.6,4.2
293,"GB",0,0,0
294,"GB",0,0,0
295,"GB",1.1,1.3,1.8
296,"GB",5.6,6.2,9.7
297,"GB",1.3,1.7,8.1
298,"GB",7.4,6.8,11.5
299,"GB",2.6,4.4,6.6
300,"GB",0,0,0
301,"GB",2,1.7,6.2
302,"GB",2.8,2.9,3
303,"GB",2.1,2.1,5.1
304,"GB",3.6,5.9,9.1
305,"GB",3.8,5.3,9.1
306,"GB",3.8,5.3,9.1
307,"GB",4.5,3.6,6.3
308,"GB",2.6,4.4,7.6
309,"GB",0.7,0.5,3.6
310,"GB",4.5,5.3,8.1
311,"GB",5.8,6.1,8.4
312,"GB",1.5,1.8,3.2
313,"GB",0.6,0.8,2.5
314,"GB",2.1,1.7,2.8
315,"GB",6.6,6.5,11
316,"GB",4.3,5.6,11.1
317,"GB",0,0,0
318,"GB",5.2,6.4,8.2
319,"GB",3.4,2.5,6.2
320,"GB",0.3,0.7,1.7
321,"GB",4.4,3.8,6.7
322,"GB",3,4.6,5.9
323,"GB",1.9,1.9,6.7
324,"GB",0.1,1.1,2
325,"GB",0,0.3,1.4
326,"GB",0,1.6,1.6
327,"GB",0.5,1.8,3
328,"CEDE",4.6,5.2,6.6
329,"CEDE",4.3,6.3,11.5
330,"CEDE",5,1.8,8
331,"CEDE",4.9,6.7,8.7
332,"CEDE",7.5,7.4,11.9
333,"CEDE",0.6,4.6,6.9
334,"CEDE",2.7,5.5,9.3
335,NA,0,0,0
336,"CEDE",5.7,7,13.6
337,"CEDE",6.7,6.6,11.8
338,"CEDE",6.3,6.9,13
339,"CEDE",5.7,6.6,9.4
340,"CEDE",0,0.4,0.9
341,"CEDE",6.4,6,12.9
342,"CEDE",4.3,5.8,9.7
343,"CEDE",5.7,5.9,12.3
344,"CEDE",0.3,1.8,2.7
345,"CEDE",0.3,1.8,2.7
346,"CEDE",5.3,5.1,7.3
347,"CEDE",5.1,5.1,4.8
348,"CEDE",3.3,6.4,10.4
349,"CEDE",2.4,5.9,7.8
350,"CEDE",1,2,2.1
351,"CEDE",0.4,1.7,3.2
352,"CEDE",4.6,6.1,10.4
353,"CEDE",4.7,6.1,10.4
354,"CEDE",1.7,3.3,4.5
355,"CEDE",0.7,0.6,2.1
356,"CEDE",0.1,1.7,1.2
357,"CEDE",4.8,6.6,11.3
358,"CEDE",2.8,5.1,7.1
359,"CEDE",0.3,1.8,2.1
360,"CEDE",0.1,0.3,2.8
361,NA,0,0,0
362,"CEDE",0.1,0.6,0.9
363,"CEDE",0.7,0.9,4.8
364,"CEDE",4.6,4.1,7.2
365,"CEDE",3.8,1.7,4.4
366,"CEDE",5.7,6.8,11.5
367,"CEDE",0,2.6,3.2
368,"CEDE",1.4,3.4,3.2
369,"CEDE",3.9,5.1,8.4
370,"CEDE",3,5.2,6.6
371,"AD",5.8,6.5,11.2
372,"AD",0.8,2.8,3.8
373,"AD",0.4,2.4,4.2
374,"AD",0.1,1.1,3.5
375,"AD",2.1,3.3,5.6
376,"AD",0.7,0.3,1
377,"AD",4.9,6.9,11.4
378,"AD",3.4,3.6,6.7
379,"AD",2.1,1.8,4.7
380,"AD",0.2,0.3,2.1
381,"AD",3.7,4,6
382,"AD",0.4,1,3.3
383,"AD",0,0.4,1.7
384,"AD",0,0.4,1.7
385,"AD",7.1,6.4,11.1
386,"AD",3.8,0.9,1.5
387,"AD",0.3,2.6,4.3
388,NA,0,0,0
389,"AD",1.8,2,5.4
390,"AD",0.3,1.3,5.7
391,"AD",0.8,1.4,2
392,"AD",0.2,0.6,1.5
393,"AD",0.9,0.6,1.8
394,"AD",0.1,0.5,2.3
395,"AD",3.9,3.6,6.6
396,"AD",4.1,3.3,6.6
397,"AD",0,2.9,8.1
398,"AD",5.4,4.2,10.2
399,"AD",0,0.6,2.7
400,"AD",1.9,1.9,5.1
401,"AD",0,0.8,2.2
402,"AD",0.1,0.8,1.4
403,"AD",1.3,1.1,3
404,"AD",0.1,1.8,2.4
