"student_id","hw1","hw2","hw3","hw4","hw5","hw6","hw7","hw8"
66666666,0,0,0,1,0,0,0,0
54546446,1,0,0,0,0,0,0,0
54252182,0,1,0,0,0,0,0,0
44331592,0,0,0,0,0,1,0,0
44253272,1,1,1,1,1,1,1,1
44253102,1,0,1,1,1,1,1,1
44253042,1,1,1,1,1,1,1,1
44252992,1,1,1,1,1,1,1,1
44252822,1,1,1,1,1,1,1,1
44252762,1,1,1,1,1,1,1,1
44252602,1,1,1,1,1,1,1,1
44252537,0,1,0,0,0,0,0,0
44252532,1,0,1,1,1,1,1,1
44252472,1,1,1,1,0,1,1,1
44252302,1,1,1,1,1,1,1,1
44252182,1,0,1,1,1,1,1,1
44252012,1,1,1,1,1,1,0,0
44251962,1,1,1,1,1,0,1,1
44251802,1,1,1,1,1,1,1,1
44251732,1,1,1,1,1,1,1,1
44251672,1,1,1,1,1,1,1,1
44251502,1,1,1,1,1,1,1,1
44251442,1,1,1,1,1,1,1,1
44251382,1,1,1,1,1,1,1,1
44251212,1,1,1,1,1,1,1,1
44251092,1,1,1,1,1,1,1,1
44250932,1,1,1,1,1,1,1,1
44250872,1,1,1,1,1,1,1,1
44250702,1,1,1,1,1,1,1,1
44250582,1,1,1,1,1,1,1,1
44250412,1,1,1,1,1,1,1,1
44250352,0,1,1,0,0,0,0,0
44250292,1,1,1,1,1,1,1,1
44242172,1,1,1,1,1,1,1,1
44242002,1,1,1,1,1,1,1,1
44241952,1,1,1,1,1,1,1,1
44241892,1,1,1,1,1,1,1,1
44241722,1,1,0,1,1,1,1,1
44241662,0,1,0,0,0,0,1,0
44241502,1,1,1,1,1,1,1,1
44241372,1,1,0,1,1,1,1,1
44241142,1,1,1,1,1,1,1,1
44241082,1,1,1,1,1,1,1,1
44240922,1,1,1,1,1,1,1,1
44240862,1,1,1,1,1,1,1,1
44240702,1,1,1,1,1,1,1,0
44240632,1,1,1,1,1,1,1,1
44240572,0,1,0,0,0,0,0,0
44240402,1,0,1,0,1,1,1,1
44240342,1,0,1,1,1,1,1,1
44240112,1,1,1,1,1,1,1,1
44233312,1,1,1,1,1,1,1,1
44233252,1,1,1,1,1,1,1,1
44233192,0,1,1,1,1,1,1,1
44233022,1,1,1,1,1,1,1,1
44232972,1,1,1,1,1,1,1,1
44232856,0,0,0,0,0,1,0,0
44232802,1,1,1,1,1,1,1,1
44232742,1,1,1,1,1,1,1,1
44232682,1,1,1,1,1,1,1,1
44232512,1,1,1,1,1,1,1,1
44232452,1,1,1,1,1,1,1,1
44232392,1,1,1,1,1,1,1,1
44232222,1,1,1,1,0,1,1,1
44232162,1,1,1,1,1,1,1,1
44232002,1,1,1,1,1,1,1,1
44231942,1,1,1,1,1,1,0,1
44231882,1,1,1,1,0,1,0,1
44231712,1,1,1,1,1,1,1,1
44231652,1,1,1,1,1,1,1,1
44231592,1,1,1,1,1,0,1,1
44231422,1,1,0,1,1,1,0,0
44231362,1,1,1,1,1,1,1,1
44231202,1,1,1,1,1,1,1,1
44231072,1,1,1,1,1,1,1,1
44230912,1,0,1,1,0,1,1,1
44230852,1,1,1,1,1,1,1,1
44230792,1,1,1,1,1,1,1,1
44230622,1,1,1,1,1,1,0,1
44230562,1,1,1,1,1,1,1,1
44230402,1,1,1,1,1,1,1,1
44230102,1,1,1,1,1,1,1,1
44223242,1,0,1,1,1,1,0,1
44223182,1,1,1,0,1,0,1,0
44223012,0,0,1,0,1,1,0,1
44222962,1,1,1,1,1,1,1,1
44222732,1,1,1,1,1,1,0,1
44222502,0,0,1,1,1,1,1,0
44222442,1,1,1,1,1,0,0,0
44222382,1,1,1,1,1,1,1,1
44222212,1,0,1,1,1,0,0,0
44222152,1,1,1,1,1,1,1,1
44222092,1,1,1,1,1,1,1,1
44221932,1,1,1,1,1,1,1,1
44221872,1,1,1,0,1,1,1,1
44221702,1,1,1,1,1,1,1,1
44221642,1,0,1,0,1,1,1,1
44221582,1,1,1,1,1,1,1,1
44221412,1,1,1,1,1,1,1,1
44221352,1,1,1,1,1,1,1,1
44221292,1,1,1,1,1,1,1,1
44221062,1,1,1,0,1,1,1,1
44220902,1,1,1,1,1,1,1,1
44220842,1,1,1,1,1,1,1,1
44220782,1,1,1,1,1,1,1,1
44220612,1,0,1,1,1,1,1,1
44220552,1,1,1,1,1,1,1,1
44220492,1,1,1,1,1,1,1,1
44220322,0,1,1,1,1,1,1,1
44220262,1,1,1,1,1,1,1,1
44212372,1,1,1,1,1,1,1,1
44212202,1,1,1,1,1,1,0,0
44212142,1,1,1,1,1,1,1,1
44212082,1,1,1,1,1,1,1,1
44211922,0,1,1,1,1,1,1,1
44211702,1,1,1,1,1,1,1,1
44211632,1,1,1,1,1,1,0,0
44211572,1,1,1,1,1,1,1,1
44211402,1,1,1,1,1,1,1,1
44211342,1,1,1,1,1,1,1,1
44211282,1,1,1,1,1,1,1,1
44211112,1,1,1,1,1,1,1,1
44211052,1,1,1,1,1,1,1,1
44210902,1,1,1,1,1,1,1,1
44210832,1,1,1,1,0,1,1,1
44210772,0,1,1,0,1,1,1,0
44210602,1,1,1,1,1,1,0,0
44210542,1,1,1,1,1,1,1,1
44210482,1,1,1,1,1,1,1,0
44210312,1,1,1,1,1,1,1,1
44210252,1,1,1,1,1,1,1,1
44210192,0,1,1,1,1,1,1,0
44204602,1,1,1,1,1,1,1,1
44204542,1,1,1,1,1,1,1,1
44204482,1,1,1,1,1,1,1,1
44204192,1,1,1,1,1,1,1,1
44204022,1,1,0,1,1,1,1,1
44203972,1,0,1,1,1,1,0,1
44203802,1,1,1,1,1,1,1,1
44203742,1,1,1,1,1,1,0,1
44203682,1,1,1,1,1,1,1,1
44203512,1,1,1,0,1,0,1,0
44203452,1,1,1,1,1,1,1,1
44203392,1,1,1,1,1,1,1,1
44203222,1,1,1,1,1,0,0,1
44203162,1,1,1,0,1,1,1,1
44203002,1,1,1,1,1,1,1,1
44202942,0,1,1,1,1,0,0,0
44202882,1,1,1,1,1,1,1,1
44202712,1,1,1,1,1,1,1,1
44202652,1,1,1,1,1,1,1,1
44202592,1,1,1,1,1,1,1,1
44202422,1,1,1,1,1,1,0,0
44202202,0,1,1,1,1,1,1,0
44202132,1,1,1,1,1,1,1,0
44202072,1,1,1,1,1,1,1,1
44201912,0,1,1,1,1,0,0,1
44201852,1,1,1,1,1,1,1,1
44201792,1,1,1,1,1,1,1,1
44201622,1,1,1,1,1,1,1,0
44201562,1,1,1,1,1,1,1,1
44201502,0,0,0,0,0,0,0,1
44201402,1,0,0,0,1,1,0,0
44201332,1,0,1,1,0,1,0,0
44201272,1,1,1,1,1,1,1,1
44201102,1,1,1,0,1,1,1,1
44201042,1,0,0,1,1,1,1,1
44200992,1,1,0,1,1,1,1,1
44200762,1,1,1,1,1,1,1,1
44200602,1,1,1,1,1,1,1,1
44200532,0,0,0,1,0,0,0,0
44200472,1,1,1,1,1,1,1,1
44200302,1,1,1,1,1,1,1,1
44200242,1,1,1,0,0,1,0,1
44200182,1,1,1,1,1,1,1,1
44135027,0,0,0,1,1,0,0,0
44134102,1,1,1,1,1,1,1,1
44134032,1,1,1,1,1,0,1,1
44133982,1,1,1,1,1,0,1,0
44133812,0,1,1,0,0,1,1,1
44133752,1,1,1,1,1,0,1,0
44133692,0,1,0,1,1,0,1,0
44133522,0,1,1,0,0,0,0,0
44133462,1,0,0,0,0,0,1,0
44133302,0,1,1,0,1,1,1,1
44133232,1,1,1,1,1,1,1,1
44133220,1,0,0,0,0,0,0,0
44133172,0,1,1,1,1,1,1,1
44133002,0,1,1,1,1,1,1,1
44132952,0,1,1,0,0,0,0,0
44132892,1,1,1,1,1,1,1,1
44132722,1,1,1,1,1,1,1,1
44132662,1,1,1,0,1,1,1,0
44132432,1,1,1,1,0,1,1,0
44132431,0,0,0,0,0,0,0,1
44132372,1,1,1,1,1,1,1,0
44132202,0,1,1,1,1,1,1,1
44132142,1,1,1,1,1,1,1,1
44132082,1,1,1,1,1,1,1,0
44131922,1,1,0,1,1,1,1,0
44131862,1,1,1,1,0,0,0,0
44131702,1,1,1,1,1,0,1,0
44131632,1,1,1,1,0,0,1,1
44131572,0,1,0,1,1,1,1,1
44131402,1,1,1,1,1,1,1,0
44131342,1,0,0,1,0,1,1,0
44131282,1,1,1,1,1,0,1,0
44131112,1,1,1,1,1,1,1,1
44131052,0,0,0,1,1,0,1,1
44130902,1,1,1,1,1,1,1,0
44130832,1,1,1,1,1,1,1,1
44130772,1,1,1,0,1,1,1,1
44130602,1,1,0,0,1,0,1,0
44130542,1,1,1,1,1,1,1,0
44130312,1,1,1,1,1,0,1,0
44130252,1,1,1,1,1,1,1,0
44130192,1,1,1,1,1,1,1,1
44128842,1,1,1,1,1,1,1,1
44128782,1,1,1,1,1,1,1,1
44128612,1,1,1,1,1,1,1,1
44128552,1,1,0,1,0,1,1,0
44128322,1,1,1,1,1,1,1,1
44128262,0,0,0,0,1,1,0,0
44128102,1,1,1,1,0,1,1,1
44128032,1,1,1,1,1,1,1,1
44127982,1,1,1,1,1,1,1,1
44127812,1,1,1,1,1,1,1,1
44127752,1,1,1,1,1,1,1,1
44127522,1,1,1,1,1,1,1,1
44127462,1,1,1,1,1,1,1,1
44127302,1,1,1,1,1,1,1,1
44127232,1,0,1,1,1,0,1,1
44127172,1,1,1,1,1,0,1,1
44127002,1,1,1,1,1,1,1,0
44126952,1,1,1,1,1,1,1,1
44126892,1,1,1,1,1,1,1,1
44126722,1,1,1,1,1,1,1,1
44126502,1,1,1,1,1,1,1,1
44126432,1,1,1,1,1,1,1,0
44126142,1,1,1,1,1,1,1,1
44126082,1,1,1,1,1,1,1,1
44125922,1,1,1,1,1,1,1,1
44125862,1,1,1,0,1,1,1,1
44125702,1,1,1,1,0,1,1,1
44125632,1,1,1,1,1,1,0,0
44125402,1,1,0,0,1,0,1,0
44125342,1,1,0,1,1,1,1,0
44125282,1,1,1,1,1,1,1,1
44125112,1,1,1,1,1,1,1,1
44125052,1,0,1,1,1,1,1,1
44124902,1,0,0,1,1,0,0,0
44124832,1,1,1,1,1,1,1,1
44124772,1,1,1,1,1,1,1,1
44124602,1,1,1,1,1,1,1,1
44124542,1,1,1,1,1,1,1,1
44124312,1,1,1,1,1,1,1,1
44124192,1,1,1,1,1,1,0,1
44124022,1,1,1,1,1,1,1,1
44123972,1,1,1,1,1,1,1,1
44123802,1,1,1,1,1,1,1,1
44123742,1,0,1,1,0,1,1,0
44123512,1,1,1,1,1,1,1,1
44123452,1,1,1,1,1,1,1,1
44123392,1,1,1,1,1,1,1,1
44123222,1,1,1,1,1,1,1,1
44123162,1,1,1,0,1,1,1,1
44122942,1,1,1,1,1,1,1,1
44122882,1,1,1,1,1,1,1,1
44122712,1,1,1,1,1,1,1,1
44122662,1,0,0,0,0,0,0,0
44122652,0,1,1,1,1,1,1,1
44122592,1,1,1,1,1,1,1,1
44122422,1,1,1,1,1,1,1,1
44122362,1,1,1,1,1,1,1,1
44122202,1,1,1,1,1,1,1,1
44122072,1,1,1,1,1,0,1,1
44121912,1,0,1,1,1,1,0,0
44121852,1,1,1,1,1,1,1,1
44121792,1,1,1,1,1,1,1,1
44121622,1,1,1,1,1,1,1,1
44121402,1,1,1,1,1,1,1,1
44121102,1,1,1,1,1,1,1,1
44121042,1,1,1,1,1,1,1,1
44120992,1,1,1,1,1,1,1,1
44120822,1,1,1,1,1,1,1,1
44120762,1,1,1,1,1,1,1,1
44120602,1,1,1,1,1,1,1,1
44120532,1,1,1,1,1,1,0,1
44120472,1,1,1,1,1,1,1,1
44120302,1,0,1,1,1,1,1,1
44120242,1,1,1,1,1,1,1,1
44120182,1,1,1,1,1,1,1,1
44119922,0,1,1,1,1,1,0,0
44119862,1,1,1,1,1,1,1,1
44119702,1,1,1,1,1,1,1,1
44119572,1,1,1,1,1,1,1,1
44119402,1,1,0,1,1,1,1,1
44119342,1,1,1,1,1,1,1,1
44119282,1,1,1,1,1,1,1,1
44119112,1,1,1,1,1,1,1,1
44119052,1,1,1,1,1,1,1,1
44118902,1,1,1,1,1,1,1,1
44118772,1,1,1,1,1,1,1,1
44118602,1,1,1,1,1,1,1,1
44118542,1,1,1,1,1,1,1,1
44118482,0,1,1,1,0,1,1,1
44118312,1,1,0,1,1,1,1,1
44118192,1,1,1,1,1,1,1,1
44117972,1,1,1,1,1,1,1,1
44117802,1,1,1,1,1,1,1,1
44117742,1,1,1,1,1,1,1,1
44117682,1,1,1,1,1,1,1,1
44117512,1,1,1,1,1,1,1,1
44117452,1,1,1,1,1,1,1,1
44117392,1,1,1,1,1,1,1,0
44117222,1,1,1,1,1,1,1,1
44117162,1,1,1,1,1,1,1,1
44116942,1,1,0,1,0,1,1,1
44116882,1,1,1,1,1,1,1,1
44116712,1,1,1,1,1,1,1,1
44116592,1,1,1,1,1,1,1,1
44116422,1,1,1,1,1,1,1,1
44116362,1,1,1,1,1,1,1,1
44116202,1,1,1,1,1,1,1,1
44116132,1,0,1,1,1,1,1,1
44116072,1,1,1,1,1,1,1,0
44115912,1,1,1,1,1,1,1,1
44115852,1,1,1,1,1,1,1,1
44115792,1,1,1,0,1,0,0,0
44115622,1,1,1,1,1,1,1,1
44115562,1,1,1,1,1,1,1,1
44115402,1,1,1,1,1,1,1,1
44115332,1,1,0,1,1,1,1,1
44115272,1,0,0,0,1,0,1,0
44115102,1,1,0,1,1,1,1,0
44115042,1,1,1,1,1,1,1,1
44114992,1,1,1,1,1,1,1,1
44114822,1,1,1,1,1,1,1,1
44114602,1,1,1,1,1,1,1,1
44114532,1,1,1,1,1,1,1,1
44114472,0,0,1,1,1,1,1,1
44114302,1,1,1,1,1,1,1,1
44114182,1,1,1,1,1,1,1,1
44114012,1,1,1,1,1,1,1,1
44113802,1,1,1,1,1,1,1,1
44113672,1,1,1,1,1,1,1,1
44113502,1,0,1,0,0,1,1,1
44113442,1,1,1,1,1,0,1,1
44113152,0,0,0,1,1,1,0,0
44113092,1,0,0,0,1,1,0,1
44112932,1,1,1,1,1,1,1,1
44112872,1,1,1,1,1,1,1,1
44112702,1,0,0,1,1,1,1,0
44112682,0,0,0,0,1,0,0,0
44112642,1,0,1,1,0,1,1,0
44112582,1,1,1,1,0,1,1,1
44112412,1,1,1,1,1,1,1,1
44112352,1,1,1,1,1,1,1,1
44112292,0,1,1,0,1,0,1,1
44112122,1,1,1,1,1,1,1,1
44112062,1,1,1,1,1,1,1,1
44111902,1,1,1,1,1,1,1,1
44111782,1,1,1,1,1,0,1,1
44111627,1,0,0,0,0,0,0,0
44111612,1,1,1,1,1,1,1,1
44111552,1,1,0,1,1,1,1,1
44111492,1,1,1,1,1,1,1,1
44111322,1,1,1,1,1,1,1,1
44111262,0,1,1,1,1,1,1,1
44111102,1,1,1,1,1,1,1,1
44111032,1,1,0,1,1,0,1,1
44110982,1,1,1,1,1,1,1,1
44110692,1,1,1,1,0,1,1,1
44110522,1,1,1,1,1,1,1,1
44110462,1,1,1,1,0,1,1,0
44110302,1,1,1,1,1,1,1,1
44110172,1,1,1,1,1,0,1,1
44104302,0,1,1,0,1,1,1,1
44104232,1,1,1,1,1,1,1,1
44104172,1,1,1,1,1,1,1,1
44103952,1,1,1,1,1,1,1,1
44103892,1,1,1,1,1,0,1,1
44103722,1,1,1,1,1,1,1,1
44103502,1,1,1,1,1,1,1,1
44103432,1,1,1,1,1,1,1,1
44103372,1,1,1,1,1,1,1,1
44103142,1,1,1,1,1,1,1,1
44103083,0,0,0,0,1,0,0,0
44103082,1,1,1,1,0,1,1,1
44102922,1,1,1,1,1,1,1,1
44102862,1,1,1,1,1,1,1,1
44102702,1,1,1,1,1,1,1,0
44102632,1,1,1,1,1,1,1,1
44102572,1,1,1,1,1,1,1,1
44102402,1,1,1,1,1,1,1,1
44102347,0,0,0,0,1,0,0,0
44102342,1,1,1,1,0,1,1,1
44102052,1,1,1,1,1,1,1,1
44101832,1,1,1,1,1,1,1,1
44101542,1,1,1,1,1,1,1,1
44101312,1,1,1,1,1,1,1,1
44101252,1,1,1,1,1,1,1,1
44101192,1,1,1,1,1,1,1,1
44101022,1,1,1,1,1,1,1,1
44100972,1,1,1,1,0,1,1,0
44100802,1,1,1,1,1,1,1,1
44100742,1,1,1,1,1,1,1,1
44100682,1,1,1,1,1,1,1,1
44100512,1,1,1,1,1,1,1,1
44100452,1,1,1,1,1,0,1,1
44100392,1,1,1,1,1,1,1,1
44100222,1,1,1,1,1,1,1,1
44100162,1,1,1,1,1,1,1,1
44002782,1,1,1,1,1,1,1,1
44002612,1,1,1,1,1,1,1,1
44002552,1,1,1,1,1,1,1,1
44002492,1,1,1,1,1,1,1,1
44002322,1,1,1,1,1,1,1,1
44002032,1,1,1,1,1,1,1,1
44001982,0,0,1,1,1,0,0,0
44001812,1,1,1,1,1,1,1,1
44001752,1,1,1,1,1,1,1,1
44001692,0,0,1,1,1,1,0,0
44001522,1,1,1,1,1,1,1,1
44001467,0,0,0,0,1,0,0,0
44001462,1,1,1,1,0,1,1,1
44001232,1,0,1,1,1,1,1,1
44001172,1,1,1,1,1,1,1,1
44001002,1,1,1,1,1,1,1,1
44000952,1,0,0,0,1,1,0,1
44000892,1,1,1,1,1,1,1,1
44000722,1,1,1,1,1,1,1,1
44000662,1,1,1,1,1,1,1,1
44000502,1,0,0,1,1,1,1,1
44000432,1,1,1,1,1,1,1,1
44000372,1,1,1,1,1,1,1,1
44000202,1,1,1,1,1,1,1,1
44000142,1,1,1,1,1,1,1,1
43444444,1,0,0,0,0,0,0,0
43131862,0,0,0,0,0,0,1,0
43131572,1,0,0,0,0,0,0,0
41135027,0,1,0,0,0,0,0,0
39173819,0,0,0,0,1,0,0,0
38196982,0,0,0,0,0,1,0,0
38108062,1,1,1,1,1,1,1,1
38107552,1,1,1,1,1,0,1,1
38106982,1,1,1,1,0,0,1,1
38106002,1,1,1,1,1,1,1,1
38104922,0,1,1,1,1,1,1,1
38104112,1,0,1,1,1,1,1,1
38103252,1,1,1,1,1,1,1,1
38103022,1,1,1,1,1,1,1,1
38100272,1,1,1,1,1,1,1,1
36363636,0,0,0,0,0,1,0,0
34525222,0,0,1,0,0,0,0,0
34252522,1,1,1,1,1,0,1,1
34252172,0,0,1,1,1,0,0,0
34250282,0,0,1,1,1,0,0,0
34240912,1,1,1,1,1,1,1,1
34240272,1,1,1,1,1,1,1,0
34212692,1,0,0,0,0,0,0,0
34212592,0,0,1,1,1,1,1,1
34212202,1,0,1,1,1,1,1,1
34211622,1,0,1,1,0,1,1,0
34210302,1,0,1,1,1,1,1,1
34203152,0,1,0,0,1,0,0,0
34201902,1,1,1,1,1,1,1,1
34201262,0,1,1,1,0,0,0,1
34201252,0,0,0,0,0,1,0,0
34133512,0,1,1,1,1,0,0,0
34130822,0,1,1,1,1,1,1,0
34130762,0,1,1,1,0,0,1,1
34130242,1,1,1,1,1,0,1,1
34123212,1,1,0,1,1,1,1,1
34121902,0,1,1,0,1,0,0,0
34119792,0,0,0,1,1,0,1,1
34119562,0,1,1,0,1,0,0,0
34119402,1,1,1,1,1,1,1,1
34118242,1,1,1,1,1,1,1,1
34117217,0,0,0,0,1,0,0,0
34117212,0,0,0,1,0,1,0,0
34115032,1,0,1,1,0,1,1,0
34112702,1,0,1,1,1,0,1,0
34112112,1,0,1,0,0,0,1,0
34111832,1,0,1,1,1,1,1,1
34111022,1,1,1,1,1,1,1,1
34002252,1,1,1,1,1,1,1,1
34002022,1,0,1,1,0,1,0,1
34001512,1,1,1,1,1,1,1,1
30104922,1,0,0,0,0,0,0,0
24213092,1,1,1,0,0,1,0,1
24211102,1,0,1,1,1,1,0,1
24134782,0,0,0,0,1,0,0,0
24132642,1,1,1,1,1,1,1,1
24131782,1,1,1,1,1,0,1,0
24118982,1,0,1,1,1,1,1,1
NA,0,0,0,0,0,1,0,0
